Ruolo,Squadra,Nome,Kap.,8 sq. / 350,10 sq. / 350,8 sq. / 500,10 sq. / 500,M.V.,Pres.
C,Frosinone,SCHMIDRomano,14,16.32,19.94,13.76,16.86,,
P,Bologna,SKORUPSKILukasz,14,15.70,19.49,13.79,25.80,"6,19",18
C,Genoa,SOWDjibril,14,,16.34,14.10,16.40,,
A,Juventus,BOGAJeremie,13,14.60,17.98,13.70,19.55,"6,19",13
C,Frosinone,CALOGiacomo,13,14.93,15.67,12.70,15.74,,
P,Cagliari,CAPRILEElia,13,14.39,17.94,12.95,17.08,"6,28",38
C,Como,CAQUERETMaxence,13,,13.69,,13.32,"6,10",28
C,Milan,CHUKWUEZESamuel,13,15.51,16.51,14.97,18.32,"5,50",1
A,Estero,DALLINGAThijs2025/2026,13,14.58,17.22,13.47,18.13,"5,81",19
P,Fiorentina,DE GEADavid,13,15.30,16.17,13.81,21.83,"6,24",37
A,Lecce,GEUBBELSWillem,13,13.80,15.20,16.69,18.70,,
A,Frosinone,GHEDJEMISFares,13,14.17,17.40,13.21,16.53,,
C,Udinese,KAMARAHassane,13,14.04,15.72,14.08,17.25,"5,88",26
C,Sassuolo,KONEIsmaël,13,,,,20.49,"6,18",35
A,Napoli,NERESDavid Campos,13,14.10,16.97,15.68,19.09,"6,18",16
C,Roma,PISILLINiccolo,13,13.86,14.68,13.34,16.66,"6,09",22
A,Parma,ROMEROJosé David,13,16.55,20.53,15.18,18.10,,
D,Lecce,TIAGO GABRIELCoelho Oliveira,13,14.23,14.78,14.21,16.77,"6,00",36
C,Udinese,UNAI GOMEZEtxebarria,13,14.01,14.15,13.25,15.97,,
D,Genoa,VASQUEZJohan,13,14.39,14.43,13.20,14.92,"6,08",36
C,Atalanta,ZALEWSKINicola,13,14.31,16.06,13.07,17.15,"6,09",31
C,Atalanta,ZAPPACOSTADavide,13,15.08,18.77,13.43,16.84,"6,05",35
D,Milan,BARTESAGHIDavide,12,13.39,14.95,13.41,15.77,"5,96",31
A,Frosinone,BOBCEKTomáš,12,,16.28,,13.99,,
D,Napoli,BUONGIORNOAlessandro,12,13.25,13.39,12.10,14.77,"5,89",32
D,Torino,COMUZZOPietro,12,13.12,13.65,12.75,15.25,"5,75",24
P,Estero,DI GREGORIOMichele2025/2026,12,25.03,32.24,27.44,51.72,"6,08",30
D,Parma,DIEGO CARLOSSantos Silva,12,14.60,17.82,11.94,15.65,"6,14",25
C,Fiorentina,DODO-,12,13.38,13.55,12.07,15.36,"5,98",36
D,Lazio,DOEKHIDanilho,12,13.29,13.56,12.44,15.22,,
P,Lecce,FALCONEWladimiro,12,13.53,16.74,12.18,15.52,"6,40",38
C,Genoa,FRENDRUPMorten,12,,13.51,12.20,15.20,"5,95",36
D,Milan,GABBIAMatteo,12,13.27,13.54,12.18,14.01,"5,91",29
D,Atalanta,HIENIsak,12,11.17,13.37,11.96,14.88,"5,91",28
C,Udinese,KARLSTROMJesper,12,,13.26,12.38,14.71,"5,95",36
D,Como,KEMPFMarc,12,13.17,13.68,12.42,15.37,"6,12",29
C,Juventus,KOOPMEINERSTeun,12,,13.45,12.36,14.67,"5,63",29
P,Lazio,MANDASChristos,12,13.27,14.04,12.79,15.49,,
D,Bologna,MIRANDAJuan,12,13.38,13.48,12.22,13.61,"6,00",31
C,Inter,MKHITARYANHenrikh,12,,13.06,,12.01,"6,21",28
C,Fiorentina,NDOURCher,12,13.06,16.15,12.15,15.43,"5,80",30
A,Lazio,NOSLINTijjani,12,,12.79,,13.17,"6,02",23
P,Udinese,OKOYEMaduka,12,13.14,14.10,12.55,15.78,"6,06",30
A,Torino,ORISTANIOGaetano Pio,12,,15.59,,,"5,77",18
C,Monza,PESSINAMatteo,12,,13.74,,12.29,,
A,Lecce,PIEROTTISantiago,12,,12.00,12.14,12.29,"5,79",37
C,Udinese,PIOTROWSKIJakub,12,15.56,18.27,,12.60,"5,88",30
C,Napoli,SPINAZZOLALeonardo,12,12.91,13.19,12.60,14.00,"6,16",30
A,Atalanta,SULEMANAKamaldeen,12,,12.20,,,"6,00",21
D,Parma,VALERIEmanuele,12,12.89,13.52,12.81,15.59,"6,05",34
D,Como,VALLEÁlex,12,13.14,13.31,12.77,15.16,"6,05",26
C,Cagliari,ADOPONdary,11,,12.41,11.50,12.93,"5,82",38
D,Frosinone,BRACAGLIAGabriele,11,12.14,13.26,11.87,14.08,,
C,Venezia,BUSIOGianluca,11,12.08,12.86,11.20,13.09,,
C,Inter,DIOUFAndy,11,13.74,16.24,18.11,20.06,"6,15",10
A,Genoa,EL SHAARAWYStephan2025/2026,11,17.14,20.89,,10.37,"6,13",18
