alias_id,team_id,alias_raw,alias_normalized,source_name,canonical_name
7b207a7a-917c-5e1b-9f6e-da2583fe38cd,dd0c334e-d69d-55e7-af24-add94fea3cd4,Juventus,JUVENTUS,fantacalcio-it-statistiche,Juventus
7b04ddc0-30f6-54af-ae3a-2dd37c3f0193,6a75a23a-b5b3-536f-9dc4-0018a49e7850,Lazio,LAZIO,fantacalcio-it-statistiche,Lazio
8be05f79-439d-576a-8300-83ba59156152,61cb3832-4d4c-557a-85e5-835d4007536c,Lecce,LECCE,fantacalcio-it-statistiche,Lecce
8ad96003-de56-5934-87ee-eeb7c9e4a982,de2b8afd-0048-545c-b7bf-b27eb2998809,Milan,MILAN,fantacalcio-it-statistiche,Milan
65e567e2-5a77-50aa-b402-1942ebf4d8a3,f1d047fc-8dc4-5034-8348-ad2ce23ae075,Monza,MONZA,fantacalcio-it-statistiche,Monza
dc996cb8-1162-5372-80b4-b7463a0e74d3,62deac80-04a4-5a6a-a1c5-3bae896c0c5d,Napoli,NAPOLI,fantacalcio-it-statistiche,Napoli
7ec072ab-8712-51d6-9718-10a2973abdff,546c46a4-a3cb-5443-afce-b3c4ffd02a72,Parma,PARMA,fantacalcio-it-statistiche,Parma
c25efa46-e01c-5bb7-a30a-0bf63b329847,0814a12e-c3ad-50f6-865e-7070a5242681,Roma,ROMA,fantacalcio-it-statistiche,Roma
5e6af42c-7fd9-59d2-8236-45ba9c734717,8691d209-d404-5965-b49a-3199d6f06bd8,Sassuolo,SASSUOLO,fantacalcio-it-statistiche,Sassuolo
1c96d296-aa1f-5f92-b8d2-6a841c695f3f,fd045612-0e5a-5ef9-9ffc-360113d4ec9b,Torino,TORINO,fantacalcio-it-statistiche,Torino
b4cec30a-eb88-5e2f-81e7-6bcefdec821d,9f0ff749-2ab2-5949-8516-c04ce23188f4,Udinese,UDINESE,fantacalcio-it-statistiche,Udinese
b978f66a-1595-593e-9893-8583d5ae23bb,8f7aaa64-9717-5e68-a8eb-08eefc308d04,Venezia,VENEZIA,fantacalcio-it-statistiche,Venezia
37d45a3b-97a8-5b2e-97e0-00cec4a0ea61,f735161e-69bc-5c69-b217-5b2f10e3e504,Atalanta,ATALANTA,fantacalcio-it-quotazioni,Atalanta
e1ed2e79-6683-5483-b5cd-480a4898a02e,740bb690-b53e-5df2-9f3c-58589f8bcbe2,Bologna,BOLOGNA,fantacalcio-it-quotazioni,Bologna
c19cdf14-ff1b-5909-8ce7-5f8244251257,b9b43615-5ac4-534c-b25e-f7740e1ec2b7,Cagliari,CAGLIARI,fantacalcio-it-quotazioni,Cagliari
44e36cf1-1ab6-5537-af29-fe5168412f6d,8fca0816-3433-5dd8-861a-1896349018dc,Como,COMO,fantacalcio-it-quotazioni,Como
82fa7fcd-28c9-5564-8a82-2ccec6f99403,347e4f27-7775-5e5a-ba32-1f8fe5ca0055,Fiorentina,FIORENTINA,fantacalcio-it-quotazioni,Fiorentina
1ea35ffb-7418-517e-8115-d9a1d813cd4e,191dfcb8-5792-5b4e-8a83-87400b40da98,Frosinone,FROSINONE,fantacalcio-it-quotazioni,Frosinone
304deea3-fea2-50f2-9118-866e32e36962,d0656bdb-b09d-5448-bb0d-7968ca0c80ab,Genoa,GENOA,fantacalcio-it-quotazioni,Genoa
7ee8ba4a-c98f-53d1-974e-2a00ed7f212d,fe0e462e-aa67-5c25-8430-b057edb567b2,Inter,INTER,fantacalcio-it-quotazioni,Inter
27c401df-0ba4-55b0-b09d-76d4c4a0d19a,dd0c334e-d69d-55e7-af24-add94fea3cd4,Juventus,JUVENTUS,fantacalcio-it-quotazioni,Juventus
2812e329-d14d-53e7-bf86-9aeb08bfc071,6a75a23a-b5b3-536f-9dc4-0018a49e7850,Lazio,LAZIO,fantacalcio-it-quotazioni,Lazio
06330403-f08a-5324-aa14-68f67b21e988,61cb3832-4d4c-557a-85e5-835d4007536c,Lecce,LECCE,fantacalcio-it-quotazioni,Lecce
c989e317-8b14-5c9f-b446-e56dc685f263,de2b8afd-0048-545c-b7bf-b27eb2998809,Milan,MILAN,fantacalcio-it-quotazioni,Milan
a7a8b995-73b5-5e0b-9c66-9e9315688866,f1d047fc-8dc4-5034-8348-ad2ce23ae075,Monza,MONZA,fantacalcio-it-quotazioni,Monza
688796f0-7bee-5b58-ae39-c778a92b98f3,62deac80-04a4-5a6a-a1c5-3bae896c0c5d,Napoli,NAPOLI,fantacalcio-it-quotazioni,Napoli
255e4f95-d149-5186-b02a-073918d340c1,546c46a4-a3cb-5443-afce-b3c4ffd02a72,Parma,PARMA,fantacalcio-it-quotazioni,Parma
0b3746b7-fdbb-5aee-bd2a-a8965eb85b42,0814a12e-c3ad-50f6-865e-7070a5242681,Roma,ROMA,fantacalcio-it-quotazioni,Roma
54da960f-2b2c-59a2-a866-566049460b7f,8691d209-d404-5965-b49a-3199d6f06bd8,Sassuolo,SASSUOLO,fantacalcio-it-quotazioni,Sassuolo
434ae3d5-a396-5672-ad09-935747b18ce9,fd045612-0e5a-5ef9-9ffc-360113d4ec9b,Torino,TORINO,fantacalcio-it-quotazioni,Torino
6e9c6767-6939-5801-b2be-97b4a5288d12,9f0ff749-2ab2-5949-8516-c04ce23188f4,Udinese,UDINESE,fantacalcio-it-quotazioni,Udinese
ae42afd5-a632-5599-bde3-f712550807d3,8f7aaa64-9717-5e68-a8eb-08eefc308d04,Venezia,VENEZIA,fantacalcio-it-quotazioni,Venezia
